Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-;Current range
-0,00244140625;10,6044899732262;7,43408203125E-09;-0,00237121582031249;1;1;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,0048828125;10,8486309726098;4,547119140625E-09;-0,00481262207031249;1;2;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,00732421875;11,0927719719934;2,4993896484375E-09;-0,0072357177734375;1;3;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,009765625;11,336912971377;9,033203125E-10;-0,009661865234375;1;4;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,01220703125;11,5810539707606;-3,021240234375E-10;-0,0120758056640625;1;5;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,0146484375;11,8251949701443;-1,4862060546875E-09;-0,0145416259765625;1;6;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,01708984375;12,0693359695279;-2,4200439453125E-09;-0,016986083984375;1;7;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,01953125;12,3134769689115;-3,131103515625E-09;-0,01942138671875;1;8;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,02197265625;12,5576179682951;-3,6895751953125E-09;-0,021832275390625;1;9;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,0244140625;12,8017589676787;-4,3670654296875E-09;-0,0242828369140625;1;10;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,02685546875;13,0458999670623;-4,9407958984375E-09;-0,0267303466796875;1;11;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,029296875;13,2900409664459;-5,3741455078125E-09;-0,0291534423828125;1;12;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,03173828125;13,5341819658295;-5,7281494140625E-09;-0,031591796875;1;13;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,0341796875;13,7783229652131;-6,1279296875E-09;-0,03402099609375;1;14;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,03662109375;14,0224639645967;-6,4422607421875E-09;-0,036456298828125;1;15;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,0390625;14,2666049639803;-6,9091796875E-09;-0,038885498046875;1;16;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,04150390625;14,5107459633639;-7,208251953125E-09;-0,041339111328125;1;17;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,0439453125;14,7548869627475;-7,403564453125E-09;-0,04373779296875;1;18;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,04638671875;14,9990279621311;-7,733154296875E-09;-0,0462005615234375;1;19;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,048828125;15,2431689615147;-8,0780029296875E-09;-0,04864501953125;1;20;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,05126953125;15,4873099608983;-8,4197998046875E-09;-0,0511474609375;1;21;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,0537109375;15,7314509602819;-8,6181640625E-09;-0,05352783203125;1;22;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,05615234375;15,9755919596655;-8,929443359375E-09;-0,055938720703125;1;23;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,05859375;16,2197329590491;-9,26513671875E-09;-0,058380126953125;1;24;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,06103515625;16,4638739584327;-9,60693359375E-09;-0,060943603515625;1;25;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,0634765625;16,7080149578163;-9,954833984375E-09;-0,063262939453125;1;26;0,000377255453169346;-1,23335473239422E-05;100 nA;
-0,06591796875;16,9521559571999;-1,02264404296875E-08;-0,065765380859375;1;27;0,000377255453169346;-1,23335473239422E-05;100 nA;
