Cycle,Anodic_E_SCE(V),Anodic_I_SCE(A),Cathodic_E_SCE(V),Cathodic_I_SCE(A),Anodic_E_RHE(V),Anodic_I_RHE(A),Cathodic_E_RHE(V),Cathodic_I_RHE(A)
Cycle 1,0.499603271484375,8.7860107421875e-06,0.073638916015625,-2.3907470703125e-07,1.1319847447916667,8.7860107421875e-06,0.7060203893229167,-2.3907470703125e-07
Cycle 2,0.3363037109375,8.31298828125e-06,-0.326904296875,-4.01611328125e-07,0.9686851842447917,8.31298828125e-06,0.30547717643229166,-4.01611328125e-07
Cycle 3,0.353363037109375,8.233642578125e-06,-0.319610595703125,-6.65283203125e-07,0.9857445104166667,8.233642578125e-06,0.31277087760416666,-6.65283203125e-07
Cycle 4,0.372894287109375,8.0780029296875e-06,-0.326934814453125,-4.149169921875e-07,1.0052757604166667,8.0780029296875e-06,0.30544665885416666,-4.149169921875e-07
Cycle 5,0.385040283203125,7.7850341796875e-06,-0.329315185546875,-4.2449951171875e-07,1.0174217565104167,7.7850341796875e-06,0.30306628776041666,-4.2449951171875e-07
Cycle 6,0.419219970703125,7.6080322265625e-06,-0.336639404296875,-5.4718017578125e-07,1.0516014440104167,7.6080322265625e-06,0.29574206901041666,-5.4718017578125e-07
Cycle 7,0.499603271484375,7.4005126953125e-06,-0.341552734375,-5.77392578125e-07,1.1319847447916667,7.4005126953125e-06,0.29082873893229166,-5.77392578125e-07
Cycle 8,0.4996337890625,7.073974609375e-06,-0.35626220703125,-4.5440673828125e-07,1.1320152623697917,7.073974609375e-06,0.27611926627604166,-4.5440673828125e-07
Cycle 9,0.4996337890625,6.6436767578125e-06,-0.385467529296875,-3.47808837890625e-07,1.1320152623697917,6.6436767578125e-06,0.24691394401041666,-3.47808837890625e-07
Cycle 10,0.4996337890625,6.085205078125e-06,-0.50018310546875,-3.41796875e-07,1.1320152623697917,6.085205078125e-06,0.13219836783854166,-3.41796875e-07
Cycle 11,0.4996337890625,5.426025390625e-06,-0.500152587890625,-3.06304931640625e-07,1.1320152623697917,5.426025390625e-06,0.13222888541666666,-3.06304931640625e-07
Cycle 12,0.49957275390625,4.603271484375e-06,-0.500244140625,-3.16619873046875e-07,1.1319542272135417,4.603271484375e-06,0.13213733268229166,-3.16619873046875e-07
Cycle 13,0.499664306640625,3.91571044921875e-06,-0.49969482421875,-2.8271484375e-07,1.1320457799479167,3.91571044921875e-06,0.13268664908854166,-2.8271484375e-07
Cycle 14,0.4996337890625,3.33587646484375e-06,-0.499664306640625,-2.83721923828125e-07,1.1320152623697917,3.33587646484375e-06,0.13271716666666666,-2.83721923828125e-07
Cycle 15,0.4991455078125,2.8228759765625e-06,-0.499755859375,-2.6678466796875e-07,1.1315269811197917,2.8228759765625e-06,0.13262561393229166,-2.6678466796875e-07
Cycle 16,0.499237060546875,2.3699951171875e-06,-0.49957275390625,-2.97119140625e-07,1.1316185338541667,2.3699951171875e-06,0.13280871940104166,-2.97119140625e-07
Cycle 17,0.4993896484375,2.0111083984375e-06,-0.499664306640625,-2.969970703125e-07,1.1317711217447917,2.0111083984375e-06,0.13271716666666666,-2.969970703125e-07
Cycle 18,0.49945068359375,1.7120361328125e-06,-0.499603271484375,-2.926025390625e-07,1.1318321569010417,1.7120361328125e-06,0.13277820182291666,-2.926025390625e-07
Cycle 19,0.49951171875,1.46636962890625e-06,-0.49957275390625,-2.84942626953125e-07,1.1318931920572917,1.46636962890625e-06,0.13280871940104166,-2.84942626953125e-07
Cycle 20,0.49957275390625,1.26129150390625e-06,-0.49957275390625,-2.91839599609375e-07,1.1319542272135417,1.26129150390625e-06,0.13280871940104166,-2.91839599609375e-07
Cycle 21,0.49957275390625,1.09039306640625e-06,-0.50006103515625,-3.11065673828125e-07,1.1319542272135417,1.09039306640625e-06,0.13232043815104166,-3.11065673828125e-07
