Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-;Current range
-0,00244140625;8,70983497800978;-3,5675048828125E-08;-0,0021942138671875;1;1;7,31365829706192E-07;-7,17149376869202E-07;100 nA
-0,0048828125;8,7586629778865;-2,45361328125E-08;-0,0046417236328125;1;2;7,31365829706192E-07;-7,17149376869202E-07;100 nA
-0,00732421875;8,80749097776322;-4,2877197265625E-08;-0,00708923339843751;1;3;7,31365829706192E-07;-7,17149376869202E-07;100 nA
-0,009765625;8,85631897763994;-2,996826171875E-08;-0,00951538085937501;1;4;7,31365829706192E-07;-7,17149376869202E-07;100 nA
-0,01220703125;8,90514697751667;-4,229736328125E-08;-0,0119293212890625;1;5;7,31365829706192E-07;-7,17149376869202E-07;100 nA
-0,0146484375;8,95397497739339;-3,875732421875E-08;-0,0144012451171875;1;6;7,31365829706192E-07;-7,17149376869202E-07;100 nA
-0,01708984375;9,00280297727011;-4,095458984375E-08;-0,016839599609375;1;7;7,31365829706192E-07;-7,17149376869202E-07;100 nA
-0,01953125;9,05163097714683;-4,534912109375E-08;-0,01927490234375;1;8;7,31365829706192E-07;-7,17149376869202E-07;100 nA
-0,02197265625;9,10045897702355;-3,8848876953125E-08;-0,0217376708984375;1;9;7,31365829706192E-07;-7,17149376869202E-07;100 nA
-0,0244140625;9,14928697690027;-5,4168701171875E-08;-0,02415771484375;1;10;7,31365829706192E-07;-7,17149376869202E-07;100 nA
-0,02685546875;9,19811497677699;-3,9703369140625E-08;-0,0265899658203125;1;11;7,31365829706192E-07;-7,17149376869202E-07;100 nA
-0,029296875;9,24694297665371;-5,645751953125E-08;-0,0290374755859375;1;12;7,31365829706192E-07;-7,17149376869202E-07;100 nA
-0,03173828125;9,29577097653043;-4,754638671875E-08;-0,0314605712890625;1;13;7,31365829706192E-07;-7,17149376869202E-07;100 nA
-0,0341796875;9,34459897640716;-5,5267333984375E-08;-0,0339111328125;1;14;7,31365829706192E-07;-7,17149376869202E-07;100 nA
-0,03662109375;9,39342697628388;-5,4962158203125E-08;-0,0363555908203125;1;15;7,31365829706192E-07;-7,17149376869202E-07;100 nA
-0,0390625;9,4422549761606;-5,3680419921875E-08;-0,038800048828125;1;16;7,31365829706192E-07;-7,17149376869202E-07;100 nA
-0,04150390625;9,49108297603732;-6,298828125E-08;-0,0412353515625;1;17;7,31365829706192E-07;-7,17149376869202E-07;100 nA
-0,0439453125;9,53991097591404;-5,18798828125E-08;-0,04366455078125;1;18;7,31365829706192E-07;-7,17149376869202E-07;100 nA
-0,04638671875;9,58873897579076;-6,94580078125E-08;-0,0461212158203125;1;19;7,31365829706192E-07;-7,17149376869202E-07;100 nA
-0,048828125;9,63756697566748;-5,6365966796875E-08;-0,0485626220703125;1;20;7,31365829706192E-07;-7,17149376869202E-07;100 nA
-0,05126953125;9,6863949755442;-6,8939208984375E-08;-0,050933837890625;1;21;7,31365829706192E-07;-7,17149376869202E-07;100 nA
-0,0537109375;9,73522297542092;-6,4910888671875E-08;-0,0533447265625;1;22;7,31365829706192E-07;-7,17149376869202E-07;100 nA
