Cycle,Anodic_E_SCE(V),Anodic_I_SCE(A),Cathodic_E_SCE(V),Cathodic_I_SCE(A),Anodic_E_RHE(V),Anodic_I_RHE(A),Cathodic_E_RHE(V),Cathodic_I_RHE(A)
Cycle 1,0.643157958984375,1.59393310546875e-05,-0.31207275390625,-1.40716552734375e-06,1.3551172526041666,1.59393310546875e-05,0.3998865397135416,-1.40716552734375e-06
Cycle 2,0.64813232421875,1.439208984375e-05,-0.31219482421875,-1.6571044921875e-06,1.3600916178385416,1.439208984375e-05,0.3997644694010416,-1.6571044921875e-06
Cycle 3,0.650634765625,1.40472412109375e-05,-0.312042236328125,-1.81976318359375e-06,1.3625940592447916,1.40472412109375e-05,0.3999170572916666,-1.81976318359375e-06
Cycle 4,0.65057373046875,1.361083984375e-05,-0.314422607421875,-1.95648193359375e-06,1.3625330240885416,1.361083984375e-05,0.3975366861979166,-1.95648193359375e-06
Cycle 5,0.650604248046875,1.31256103515625e-05,-0.314453125,-1.91650390625e-06,1.3625635416666666,1.31256103515625e-05,0.3975061686197916,-1.91650390625e-06
Cycle 6,0.650634765625,1.2646484375e-05,-0.316864013671875,-1.954345703125e-06,1.3625940592447916,1.2646484375e-05,0.3950952799479166,-1.954345703125e-06
Cycle 7,0.650634765625,1.21795654296875e-05,-0.31927490234375,-1.93389892578125e-06,1.3625940592447916,1.21795654296875e-05,0.3926843912760416,-1.93389892578125e-06
Cycle 8,0.65069580078125,1.16973876953125e-05,-0.32177734375,-1.923828125e-06,1.3626550944010416,1.16973876953125e-05,0.3901819498697916,-1.923828125e-06
Cycle 9,0.65069580078125,1.12030029296875e-05,-0.326690673828125,-1.905517578125e-06,1.3626550944010416,1.12030029296875e-05,0.3852686197916666,-1.905517578125e-06
Cycle 10,0.650634765625,1.07086181640625e-05,-0.331573486328125,-1.81976318359375e-06,1.3625940592447916,1.07086181640625e-05,0.3803858072916666,-1.81976318359375e-06
Cycle 11,0.6507568359375,1.025390625e-05,-0.336395263671875,-1.7633056640625e-06,1.3627161295572916,1.025390625e-05,0.3755640299479166,-1.7633056640625e-06
Cycle 12,0.650726318359375,9.82666015625e-06,-0.34130859375,-1.58660888671875e-06,1.3626856119791666,9.82666015625e-06,0.3706506998697916,-1.58660888671875e-06
Cycle 13,0.65069580078125,9.3658447265625e-06,-0.346221923828125,-1.4593505859375e-06,1.3626550944010416,9.3658447265625e-06,0.3657373697916666,-1.4593505859375e-06
Cycle 14,0.650665283203125,8.7890625e-06,-0.353546142578125,-1.24237060546875e-06,1.3626245768229166,8.7890625e-06,0.3584131510416666,-1.24237060546875e-06
Cycle 15,0.6507568359375,8.148193359375e-06,-0.3585205078125,-1.07696533203125e-06,1.3627161295572916,8.148193359375e-06,0.3534387858072916,-1.07696533203125e-06
Cycle 16,0.65069580078125,7.5164794921875e-06,-0.360992431640625,-9.2681884765625e-07,1.3626550944010416,7.5164794921875e-06,0.3509668619791666,-9.2681884765625e-07
