Cycle,Anodic_E_SCE(V),Anodic_I_SCE(A),Cathodic_E_SCE(V),Cathodic_I_SCE(A),Anodic_E_RHE(V),Anodic_I_RHE(A),Cathodic_E_RHE(V),Cathodic_I_RHE(A)
Cycle 1,0.28802490234375,8.4014892578125e-06,-0.448333740234375,-3.21075439453125e-07,0.9107314697265625,8.4014892578125e-06,0.1743728271484375,-3.21075439453125e-07
Cycle 2,0.500579833984375,6.427001953125e-06,0.066314697265625,-2.3553466796875e-07,1.1232864013671875,6.427001953125e-06,0.6890212646484375,-2.3553466796875e-07
Cycle 3,0.339447021484375,6.781005859375e-06,-0.3214111328125,-1.56585693359375e-06,0.9621535888671875,6.781005859375e-06,0.3012954345703125,-1.56585693359375e-06
Cycle 4,0.371124267578125,6.53076171875e-06,-0.336090087890625,-1.328125e-06,0.9938308349609375,6.53076171875e-06,0.2866164794921875,-1.328125e-06
Cycle 5,0.50054931640625,6.2744140625e-06,-0.355560302734375,-1.0797119140625e-06,1.1232558837890625,6.2744140625e-06,0.2671462646484375,-1.0797119140625e-06
Cycle 6,0.500579833984375,5.816650390625e-06,-0.380035400390625,-9.710693359375e-07,1.1232864013671875,5.816650390625e-06,0.2426711669921875,-9.710693359375e-07
Cycle 7,0.500640869140625,4.83795166015625e-06,-0.42633056640625,-8.0780029296875e-07,1.1233474365234375,4.83795166015625e-06,0.1963760009765625,-8.0780029296875e-07
Cycle 8,0.500640869140625,3.5162353515625e-06,-0.49945068359375,-5.938720703125e-07,1.1233474365234375,3.5162353515625e-06,0.12325588378906249,-5.938720703125e-07
Cycle 9,0.500152587890625,2.423095703125e-06,-0.49945068359375,-3.380126953125e-07,1.1228591552734375,2.423095703125e-06,0.12325588378906249,-3.380126953125e-07
Cycle 10,0.50030517578125,1.6741943359375e-06,-0.499053955078125,-2.51434326171875e-07,1.1230117431640625,1.6741943359375e-06,0.12365261230468749,-2.51434326171875e-07
