Cycle,Anodic_E(V),Anodic_I(A),Cathodic_1_E(V),Cathodic_1_I(A),Cathodic_2_E(V),Cathodic_2_I(A)
Cycle 1,0.31494140625,8.36181640625e-06,-0.33447265625,-1.07391357421875e-06,0.06591796875,-1.851806640625e-07
Cycle 2,0.3564453125,7.6873779296875e-06,-0.33935546875,-1.27593994140625e-06,0.0634765625,-1.76544189453125e-07
Cycle 3,0.39794921875,7.0159912109375e-06,-0.3564453125,-1.16058349609375e-06,0.0537109375,-1.23260498046875e-07
Cycle 4,0.39794921875,5.9112548828125e-06,-0.390625,-8.795166015625e-07,0.0439453125,-9.4757080078125e-08
Cycle 5,0.39794921875,4.461669921875e-06,-0.39794921875,-7.8704833984375e-07,0.04638671875,-9.4573974609375e-08
Cycle 6,0.39794921875,3.01025390625e-06,-0.39794921875,-6.62841796875e-07,0.0439453125,-9.5703125e-08
Cycle 7,0.39794921875,1.9378662109375e-06,-0.39794921875,-6.1553955078125e-07,0.0390625,-9.716796875e-08
Cycle 8,0.39794921875,1.25274658203125e-06,-0.39794921875,-5.56640625e-07,0.03662109375,-9.7076416015625e-08
Cycle 9,0.39794921875,8.4228515625e-07,-0.39794921875,-5.859375e-07,0.04150390625,-9.6221923828125e-08
Cycle 10,0.39794921875,5.9722900390625e-07,-0.39794921875,-5.89599609375e-07,0.04150390625,-9.4757080078125e-08
Cycle 11,0.39794921875,4.5166015625e-07,-0.39794921875,-6.1492919921875e-07,0.04150390625,-9.368896484375e-08
Cycle 12,0.39794921875,3.58245849609375e-07,-0.39794921875,-5.77392578125e-07,0.04638671875,-9.234619140625e-08
