Cycle,Anodic_E(V),Anodic_I(A),Cathodic_1_E(V),Cathodic_1_I(A),Cathodic_2_E(V),Cathodic_2_I(A)
Cycle 1,0.21240234375,2.84515380859375e-05,-0.341796875,-6.280517578125e-06,0.04150390625,-2.11151123046875e-06
Cycle 2,0.322265625,2.19482421875e-05,-0.36865234375,-5.621337890625e-06,0.01953125,-1.11602783203125e-06
Cycle 3,0.39794921875,1.84814453125e-05,-0.39794921875,-4.26177978515625e-06,0.00244140625,-5.7525634765625e-07
Cycle 4,0.39794921875,1.2957763671875e-05,-0.39794921875,-2.69744873046875e-06,0.01220703125,-3.5003662109375e-07
Cycle 5,0.39794921875,8.06884765625e-06,-0.39794921875,-1.48101806640625e-06,0.0390625,-3.16162109375e-07
Cycle 6,0.39794921875,5.0872802734375e-06,-0.3955078125,-9.0667724609375e-07,0.04638671875,-3.173828125e-07
Cycle 7,0.39794921875,3.3978271484375e-06,-0.39794921875,-7.2021484375e-07,0.04638671875,-3.216552734375e-07
Cycle 8,0.39794921875,2.403564453125e-06,-0.3955078125,-6.3262939453125e-07,0.03662109375,-3.2196044921875e-07
Cycle 9,0.39794921875,1.78558349609375e-06,-0.3955078125,-5.79833984375e-07,0.05126953125,-3.21044921875e-07
Cycle 10,0.39794921875,1.416015625e-06,-0.3955078125,-5.609130859375e-07,0.0537109375,-3.1982421875e-07
Cycle 11,0.39794921875,1.1541748046875e-06,-0.39794921875,-5.6121826171875e-07,0.04150390625,-3.1890869140625e-07
Cycle 12,0.39794921875,9.80224609375e-07,-0.39794921875,-5.419921875e-07,0.03173828125,-3.1494140625e-07
Cycle 13,0.39794921875,8.69140625e-07,-0.38818359375,-5.084228515625e-07,0.03662109375,-3.12530517578125e-07
Cycle 14,0.39794921875,7.635498046875e-07,-0.390625,-4.7760009765625e-07,0.03662109375,-3.131103515625e-07
Cycle 15,0.39794921875,7.0037841796875e-07,-0.3955078125,-4.7210693359375e-07,0.03662109375,-3.0914306640625e-07
Cycle 16,0.3955078125,6.4239501953125e-07,-0.3955078125,-4.638671875e-07,0.0439453125,-3.06915283203125e-07
Cycle 17,0.39794921875,5.987548828125e-07,-0.39794921875,-4.7515869140625e-07,0.03662109375,-2.960205078125e-07
Cycle 18,0.3955078125,5.6549072265625e-07,-0.3955078125,-4.827880859375e-07,0.03662109375,-3.0072021484375e-07
Cycle 19,0.39794921875,5.352783203125e-07,-0.3955078125,-4.754638671875e-07,0.0390625,-2.9669189453125e-07
Cycle 20,0.39794921875,5.0689697265625e-07,-0.3955078125,-4.6356201171875e-07,0.04150390625,-2.9547119140625e-07
Cycle 21,0.3955078125,4.827880859375e-07,-0.39794921875,-4.8553466796875e-07,0.0390625,-2.92877197265625e-07
Cycle 22,0.39794921875,4.656982421875e-07,-0.39794921875,-5.0689697265625e-07,0.04638671875,-2.84210205078125e-07
Cycle 23,0.3955078125,4.5501708984375e-07,-0.39794921875,-5.18798828125e-07,0.0439453125,-2.90802001953125e-07
Cycle 24,0.39794921875,4.3853759765625e-07,-0.39794921875,-5.2154541015625e-07,0.0390625,-2.7740478515625e-07
Cycle 25,0.39794921875,4.26025390625e-07,-0.3955078125,-5.3436279296875e-07,0.04150390625,-2.73101806640625e-07
Cycle 26,0.39794921875,4.11376953125e-07,-0.39794921875,-5.56640625e-07,0.05126953125,-2.71026611328125e-07
Cycle 27,0.20263671875,4.01611328125e-07,-0.3955078125,-5.6671142578125e-07,0.0537109375,-2.6885986328125e-07
Cycle 28,0.39794921875,3.9520263671875e-07,-0.39794921875,-5.84716796875e-07,0.04150390625,-2.684326171875e-07
Cycle 29,0.205078125,3.89739990234375e-07,-0.39794921875,-5.9173583984375e-07,0.048828125,-2.66387939453125e-07
Cycle 30,0.205078125,3.8299560546875e-07,-0.39794921875,-5.8258056640625e-07,0.05126953125,-2.635498046875e-07
