Cycle,Anodic_E(V),Anodic_I(A),Cathodic_1_E(V),Cathodic_1_I(A),Cathodic_2_E(V),Cathodic_2_I(A)
Cycle 1,0.2197265625,4.3048095703125e-05,-0.2978515625,-9.0118408203125e-06,0.10498046875,-1.36444091796875e-05
Cycle 2,0.25634765625,3.63433837890625e-05,-0.30029296875,-8.685302734375e-06,0.09765625,-1.1260986328125e-05
Cycle 3,0.2783203125,3.54736328125e-05,-0.30029296875,-9.7198486328125e-06,0.09033203125,-9.9151611328125e-06
Cycle 4,0.29541015625,3.17718505859375e-05,-0.302734375,-9.4207763671875e-06,0.08544921875,-8.7158203125e-06
Cycle 5,0.3125,3.26995849609375e-05,-0.31005859375,-8.6639404296875e-06,0.08056640625,-7.50732421875e-06
Cycle 6,0.31982421875,3.2305908203125e-05,-0.3125,-8.59375e-06,0.07568359375,-6.73828125e-06
Cycle 7,0.3369140625,3.0548095703125e-05,-0.3173828125,-8.2611083984375e-06,0.068359375,-5.7891845703125e-06
Cycle 8,0.35888671875,2.9669189453125e-05,-0.3271484375,-7.666015625e-06,0.05859375,-4.6942138671875e-06
Cycle 9,0.3857421875,2.83599853515625e-05,-0.3369140625,-7.01904296875e-06,0.048828125,-3.66943359375e-06
Cycle 10,0.39794921875,2.686767578125e-05,-0.3564453125,-6.2042236328125e-06,0.0390625,-2.669677734375e-06
Cycle 11,0.39794921875,2.45941162109375e-05,-0.3857421875,-5.28564453125e-06,0.02685546875,-1.8145751953125e-06
Cycle 12,0.39794921875,2.15179443359375e-05,-0.39794921875,-4.210205078125e-06,0.0146484375,-1.21337890625e-06
Cycle 13,0.39794921875,1.807861328125e-05,-0.39794921875,-3.0328369140625e-06,0.0,-8.7188720703125e-07
Cycle 14,0.39794921875,1.461181640625e-05,-0.39794921875,-2.12646484375e-06,0.0,-7.11669921875e-07
Cycle 15,0.39794921875,1.14990234375e-05,-0.39794921875,-1.56097412109375e-06,0.0,-6.500244140625e-07
Cycle 16,0.39794921875,9.014892578125e-06,-0.39794921875,-1.2457275390625e-06,0.0,-6.280517578125e-07
Cycle 17,0.39794921875,7.196044921875e-06,-0.39794921875,-1.10443115234375e-06,0.0,-6.1920166015625e-07
Cycle 18,0.39794921875,5.8746337890625e-06,-0.39794921875,-1.05224609375e-06,0.0,-6.1248779296875e-07
Cycle 19,0.39794921875,4.9407958984375e-06,-0.39794921875,-1.04248046875e-06,0.0,-6.0577392578125e-07
Cycle 20,0.39794921875,4.2218017578125e-06,-0.322265625,-1.03302001953125e-06,0.0,-5.9967041015625e-07
Cycle 21,0.39794921875,3.6578369140625e-06,-0.32958984375,-1.03271484375e-06,0.0,-5.9326171875e-07
Cycle 22,0.39794921875,3.22113037109375e-06,-0.39794921875,-1.0382080078125e-06,0.0,-5.8563232421875e-07
Cycle 23,0.39794921875,2.8857421875e-06,-0.39794921875,-1.036376953125e-06,0.0,-5.792236328125e-07
Cycle 24,0.39794921875,2.6129150390625e-06,-0.39794921875,-1.02691650390625e-06,0.0,-5.72509765625e-07
Cycle 25,0.39794921875,2.3919677734375e-06,-0.39794921875,-1.01959228515625e-06,0.0,-5.6610107421875e-07
