Cycle,Anodic_E(V),Anodic_I(A),Cathodic_1_E(V),Cathodic_1_I(A),Cathodic_2_E(V),Cathodic_2_I(A)
Cycle 1,,,-0.3369140625,-2.51983642578125e-05,0.05615234375,-1.36505126953125e-05
Cycle 2,0.27099609375,7.36083984375e-05,-0.36865234375,-2.26287841796875e-05,0.029296875,-6.890869140625e-06
Cycle 3,0.37353515625,5.9600830078125e-05,-0.39794921875,-1.7120361328125e-05,0.0,-3.248291015625e-06
Cycle 4,0.39794921875,4.2388916015625e-05,-0.39794921875,-1.0400390625e-05,0.00244140625,-1.781005859375e-06
Cycle 5,0.39794921875,2.5262451171875e-05,-0.39794921875,-5.364990234375e-06,0.00244140625,-1.5234375e-06
Cycle 6,0.39794921875,1.5362548828125e-05,-0.39794921875,-3.3209228515625e-06,0.0,-1.5179443359375e-06
Cycle 7,0.39794921875,1.01959228515625e-05,-0.39794921875,-2.71759033203125e-06,0.00244140625,-1.531982421875e-06
Cycle 8,0.39794921875,7.501220703125e-06,-0.3955078125,-2.525634765625e-06,0.0048828125,-1.53717041015625e-06
Cycle 9,0.39794921875,5.9173583984375e-06,-0.3955078125,-2.46826171875e-06,0.0,-1.529541015625e-06
Cycle 10,0.39794921875,4.937744140625e-06,-0.390625,-2.4298095703125e-06,0.00244140625,-1.5313720703125e-06
Cycle 11,0.39794921875,4.3365478515625e-06,-0.33935546875,-2.42401123046875e-06,0.0,-1.53594970703125e-06
Cycle 12,0.39794921875,3.8836669921875e-06,-0.33447265625,-2.425537109375e-06,0.0,-1.51397705078125e-06
Cycle 13,0.39794921875,3.5784912109375e-06,-0.3955078125,-2.41851806640625e-06,0.00244140625,-1.50390625e-06
Cycle 14,0.3955078125,3.3160400390625e-06,-0.39794921875,-2.45758056640625e-06,0.00244140625,-1.48345947265625e-06
Cycle 15,0.39794921875,3.14056396484375e-06,-0.3955078125,-2.40753173828125e-06,0.00244140625,-1.473388671875e-06
Cycle 16,0.3955078125,2.97210693359375e-06,-0.38818359375,-2.38922119140625e-06,0.00244140625,-1.45843505859375e-06
Cycle 17,0.39794921875,2.843017578125e-06,-0.3955078125,-2.3828125e-06,0.0,-1.44378662109375e-06
Cycle 18,0.39794921875,2.75482177734375e-06,-0.3857421875,-2.36846923828125e-06,0.0,-1.43463134765625e-06
Cycle 19,0.39794921875,2.64556884765625e-06,-0.39794921875,-2.37823486328125e-06,0.00244140625,-1.41021728515625e-06
Cycle 20,0.39794921875,2.59490966796875e-06,-0.39306640625,-2.36297607421875e-06,0.00244140625,-1.4056396484375e-06
Cycle 21,0.39794921875,2.50946044921875e-06,-0.39794921875,-2.36419677734375e-06,0.00244140625,-1.37908935546875e-06
Cycle 22,0.39794921875,2.46612548828125e-06,-0.3955078125,-2.35260009765625e-06,0.00244140625,-1.36505126953125e-06
Cycle 23,0.3955078125,2.38922119140625e-06,-0.39306640625,-2.3406982421875e-06,0.00244140625,-1.3616943359375e-06
Cycle 24,0.39794921875,2.349853515625e-06,-0.38818359375,-2.32696533203125e-06,0.0048828125,-1.34979248046875e-06
Cycle 25,0.39794921875,2.30926513671875e-06,-0.3955078125,-2.3175048828125e-06,0.0,-1.35284423828125e-06
Cycle 26,0.3955078125,2.23968505859375e-06,-0.38818359375,-2.30987548828125e-06,0.00244140625,-1.33544921875e-06
Cycle 27,0.39794921875,2.2247314453125e-06,-0.390625,-2.3101806640625e-06,0.0,-1.33331298828125e-06
Cycle 28,0.39794921875,2.1734619140625e-06,-0.38818359375,-2.30377197265625e-06,0.0,-1.33392333984375e-06
Cycle 29,0.3955078125,2.1435546875e-06,-0.39794921875,-2.30194091796875e-06,0.00732421875,-1.30126953125e-06
Cycle 30,0.3955078125,2.11578369140625e-06,-0.390625,-2.29278564453125e-06,0.0,-1.3043212890625e-06
