Cycle,Anodic_E(V),Anodic_I(A),Cathodic_1_E(V),Cathodic_1_I(A),Cathodic_2_E(V),Cathodic_2_I(A)
Cycle 1,0.322265625,2.489013671875e-05,-0.3369140625,-5.206298828125e-06,0.05126953125,-1.24359130859375e-05
Cycle 2,0.37109375,2.2027587890625e-05,-0.33203125,-5.609130859375e-06,0.04638671875,-1.0870361328125e-05
Cycle 3,0.3759765625,2.13134765625e-05,-0.33447265625,-5.755615234375e-06,0.0439453125,-1.046142578125e-05
Cycle 4,0.37841796875,2.0831298828125e-05,-0.33447265625,-5.8746337890625e-06,0.04150390625,-1.01806640625e-05
Cycle 5,0.38818359375,2.0428466796875e-05,-0.33447265625,-5.9539794921875e-06,0.0390625,-9.912109375e-06
Cycle 6,0.39794921875,2.0050048828125e-05,-0.33447265625,-6.0150146484375e-06,0.03662109375,-9.637451171875e-06
Cycle 7,0.3955078125,1.96746826171875e-05,-0.33447265625,-6.060791015625e-06,0.03662109375,-9.3353271484375e-06
Cycle 8,0.39794921875,1.932373046875e-05,-0.33935546875,-6.097412109375e-06,0.0341796875,-9.02099609375e-06
Cycle 9,0.39794921875,1.8963623046875e-05,-0.34423828125,-6.085205078125e-06,0.03173828125,-8.70361328125e-06
Cycle 10,0.39794921875,1.86065673828125e-05,-0.3466796875,-6.0699462890625e-06,0.02685546875,-8.355712890625e-06
Cycle 11,0.39794921875,1.8243408203125e-05,-0.34912109375,-6.011962890625e-06,0.02685546875,-7.9925537109375e-06
Cycle 12,0.39794921875,1.78802490234375e-05,-0.34912109375,-5.9326171875e-06,0.0244140625,-7.6141357421875e-06
Cycle 13,0.39794921875,1.75140380859375e-05,-0.3564453125,-5.828857421875e-06,0.01708984375,-7.2265625e-06
Cycle 14,0.39794921875,1.7095947265625e-05,-0.35888671875,-5.7037353515625e-06,0.0146484375,-6.8115234375e-06
Cycle 15,0.39794921875,1.66748046875e-05,-0.35888671875,-5.5694580078125e-06,0.009765625,-6.3934326171875e-06
Cycle 16,0.39794921875,1.6229248046875e-05,-0.361328125,-5.401611328125e-06,0.00244140625,-5.9661865234375e-06
Cycle 17,0.39794921875,1.571044921875e-05,-0.37353515625,-5.242919921875e-06,0.0,-5.5206298828125e-06
Cycle 18,0.39794921875,1.51641845703125e-05,-0.37841796875,-5.0689697265625e-06,0.0,-5.0384521484375e-06
Cycle 19,0.39794921875,1.458740234375e-05,-0.380859375,-4.876708984375e-06,0.0,-4.52484130859375e-06
Cycle 20,0.39794921875,1.39556884765625e-05,-0.39306640625,-4.6881103515625e-06,0.0,-4.00970458984375e-06
Cycle 21,0.39794921875,1.3262939453125e-05,-0.390625,-4.49554443359375e-06,0.0,-3.5125732421875e-06
Cycle 22,0.39794921875,1.2554931640625e-05,-0.3955078125,-4.28680419921875e-06,0.0,-3.04595947265625e-06
Cycle 23,0.39794921875,1.18194580078125e-05,-0.39794921875,-4.058837890625e-06,0.0,-2.59613037109375e-06
Cycle 24,0.39794921875,1.109619140625e-05,-0.39794921875,-3.77471923828125e-06,0.0,-2.21954345703125e-06
Cycle 25,0.39794921875,1.036376953125e-05,-0.39794921875,-3.472900390625e-06,0.0,-1.90185546875e-06
Cycle 26,0.39794921875,9.6343994140625e-06,-0.39794921875,-3.15185546875e-06,0.0,-1.6607666015625e-06
Cycle 27,0.39794921875,8.9324951171875e-06,-0.39794921875,-2.8375244140625e-06,0.0,-1.43951416015625e-06
Cycle 28,0.39794921875,8.251953125e-06,-0.39794921875,-2.5225830078125e-06,0.0048828125,-1.279296875e-06
Cycle 29,0.39794921875,7.586669921875e-06,-0.39794921875,-2.22991943359375e-06,0.00244140625,-1.17218017578125e-06
Cycle 30,0.39794921875,6.97021484375e-06,-0.39794921875,-1.98089599609375e-06,0.0,-1.08245849609375e-06
Cycle 31,0.39794921875,6.390380859375e-06,-0.39794921875,-1.73431396484375e-06,0.029296875,-1.02874755859375e-06
Cycle 32,0.39794921875,5.8563232421875e-06,-0.39794921875,-1.5264892578125e-06,0.04638671875,-1.002197265625e-06
Cycle 33,0.39794921875,5.3680419921875e-06,-0.39794921875,-1.35894775390625e-06,0.0341796875,-9.86328125e-07
Cycle 34,0.39794921875,4.9163818359375e-06,-0.39794921875,-1.22833251953125e-06,0.04150390625,-9.759521484375e-07
Cycle 35,0.39794921875,4.510498046875e-06,-0.39794921875,-1.14105224609375e-06,0.04638671875,-9.6221923828125e-07
Cycle 36,0.39794921875,4.140625e-06,-0.3955078125,-1.0626220703125e-06,0.0390625,-9.5550537109375e-07
Cycle 37,0.39794921875,3.798828125e-06,-0.39306640625,-1.00250244140625e-06,0.0439453125,-9.5062255859375e-07
