Cycle,Anodic_E(V),Anodic_I(A),Cathodic_E(V),Cathodic_I(A)
Cycle 1,0.3564453125,2.68096923828125e-05,0.0390625,-1.2188720703125e-05
Cycle 2,0.39306640625,2.38128662109375e-05,0.0341796875,-1.0400390625e-05
Cycle 3,0.400390625,2.32147216796875e-05,0.03173828125,-9.796142578125e-06
Cycle 4,0.41259765625,2.28912353515625e-05,0.03173828125,-9.356689453125e-06
Cycle 5,0.42724609375,2.2650146484375e-05,0.029296875,-8.990478515625e-06
Cycle 6,0.439453125,2.23968505859375e-05,0.02685546875,-8.6181640625e-06
Cycle 7,0.45166015625,2.22015380859375e-05,0.02197265625,-8.2489013671875e-06
Cycle 8,0.45654296875,2.20062255859375e-05,0.02197265625,-7.8857421875e-06
Cycle 9,0.48095703125,2.18536376953125e-05,0.01708984375,-7.4920654296875e-06
Cycle 10,0.49560546875,2.1722412109375e-05,0.0146484375,-7.1014404296875e-06
