Cycle,Anodic_E(V),Anodic_I(A),Cathodic_1_E(V),Cathodic_1_I(A),Cathodic_2_E(V),Cathodic_2_I(A)
Cycle 1,0.28564453125,1.71630859375e-05,-0.3125,-3.39202880859375e-06,0.06591796875,-7.3272705078125e-06
Cycle 2,0.3466796875,1.59149169921875e-05,-0.3125,-3.3941650390625e-06,0.06103515625,-6.4727783203125e-06
Cycle 3,0.3515625,1.58447265625e-05,-0.31494140625,-3.37310791015625e-06,0.06103515625,-6.231689453125e-06
Cycle 4,0.35888671875,1.57867431640625e-05,-0.31494140625,-3.36700439453125e-06,0.05859375,-6.0333251953125e-06
Cycle 5,0.361328125,1.56829833984375e-05,-0.3173828125,-3.3319091796875e-06,0.05615234375,-5.8380126953125e-06
Cycle 6,0.3662109375,1.5606689453125e-05,-0.31494140625,-3.30169677734375e-06,0.0537109375,-5.6304931640625e-06
Cycle 7,0.37353515625,1.55029296875e-05,-0.322265625,-3.24127197265625e-06,0.05126953125,-5.401611328125e-06
Cycle 8,0.37841796875,1.53961181640625e-05,-0.322265625,-3.20037841796875e-06,0.048828125,-5.16357421875e-06
Cycle 9,0.38818359375,1.52587890625e-05,-0.32470703125,-3.1317138671875e-06,0.04638671875,-4.8980712890625e-06
Cycle 10,0.39794921875,1.51275634765625e-05,-0.32958984375,-3.0859375e-06,0.04150390625,-4.622802734375e-06
Cycle 11,0.3955078125,1.49200439453125e-05,-0.32958984375,-2.98309326171875e-06,0.0390625,-4.31793212890625e-06
Cycle 12,0.39794921875,1.47247314453125e-05,-0.33447265625,-2.91168212890625e-06,0.03662109375,-4.01275634765625e-06
Cycle 13,0.39794921875,1.4434814453125e-05,-0.33935546875,-2.8448486328125e-06,0.03173828125,-3.70147705078125e-06
Cycle 14,0.39794921875,1.40869140625e-05,-0.341796875,-2.7410888671875e-06,0.0244140625,-3.36639404296875e-06
Cycle 15,0.39794921875,1.36993408203125e-05,-0.3515625,-2.6361083984375e-06,0.0244140625,-3.03375244140625e-06
Cycle 16,0.39794921875,1.32537841796875e-05,-0.3564453125,-2.52716064453125e-06,0.0146484375,-2.70111083984375e-06
Cycle 17,0.39794921875,1.27410888671875e-05,-0.35888671875,-2.40386962890625e-06,0.01220703125,-2.38250732421875e-06
Cycle 18,0.39794921875,1.22039794921875e-05,-0.36865234375,-2.271728515625e-06,0.0048828125,-2.0751953125e-06
Cycle 19,0.39794921875,1.16058349609375e-05,-0.37353515625,-2.132568359375e-06,0.00244140625,-1.79168701171875e-06
Cycle 20,0.39794921875,1.09832763671875e-05,-0.38818359375,-1.99188232421875e-06,0.00244140625,-1.527099609375e-06
Cycle 21,0.39794921875,1.033935546875e-05,-0.3955078125,-1.85089111328125e-06,0.0,-1.29302978515625e-06
Cycle 22,0.39794921875,9.66796875e-06,-0.39794921875,-1.68426513671875e-06,0.0,-1.092529296875e-06
Cycle 23,0.39794921875,9.039306640625e-06,-0.39794921875,-1.5203857421875e-06,0.00244140625,-9.26513671875e-07
Cycle 24,0.39794921875,8.3831787109375e-06,-0.3955078125,-1.35162353515625e-06,0.0,-7.89794921875e-07
Cycle 25,0.39794921875,7.75146484375e-06,-0.39794921875,-1.197509765625e-06,0.0,-6.9305419921875e-07
Cycle 26,0.39794921875,7.1533203125e-06,-0.39794921875,-1.0662841796875e-06,0.0,-6.0882568359375e-07
Cycle 27,0.39794921875,6.5673828125e-06,-0.39794921875,-9.295654296875e-07,0.0048828125,-5.5023193359375e-07
Cycle 28,0.39794921875,6.0302734375e-06,-0.3955078125,-8.233642578125e-07,0.009765625,-5.047607421875e-07
Cycle 29,0.39794921875,5.5267333984375e-06,-0.3955078125,-7.354736328125e-07,0.01220703125,-4.7454833984375e-07
Cycle 30,0.39794921875,5.0567626953125e-06,-0.39794921875,-6.695556640625e-07,0.01708984375,-4.541015625e-07
Cycle 31,0.39794921875,4.62921142578125e-06,-0.3955078125,-5.9906005859375e-07,0.0244140625,-4.4061279296875e-07
Cycle 32,0.39794921875,4.24835205078125e-06,-0.39794921875,-5.487060546875e-07,0.03173828125,-4.3426513671875e-07
Cycle 33,0.39794921875,3.90411376953125e-06,-0.3955078125,-5.133056640625e-07,0.03173828125,-4.27734375e-07
Cycle 34,0.39794921875,3.53363037109375e-06,-0.39794921875,-5.6304931640625e-07,0.0439453125,-4.22210693359375e-07
Cycle 35,0.39794921875,3.09326171875e-06,-0.39794921875,-5.181884765625e-07,0.03662109375,-4.180908203125e-07
Cycle 36,0.39794921875,2.918701171875e-06,-0.39794921875,-4.82177734375e-07,0.03173828125,-4.14642333984375e-07
Cycle 37,0.39794921875,2.71270751953125e-06,-0.39794921875,-4.571533203125e-07,0.0390625,-4.09912109375e-07
Cycle 38,0.39794921875,2.49969482421875e-06,-0.39794921875,-4.3365478515625e-07,0.02685546875,-4.07470703125e-07
Cycle 39,0.39794921875,2.32696533203125e-06,-0.3955078125,-4.21234130859375e-07,0.03173828125,-4.06768798828125e-07
Cycle 40,0.39794921875,2.1466064453125e-06,-0.39794921875,-4.0814208984375e-07,0.0390625,-4.0155029296875e-07
Cycle 41,0.39794921875,1.99066162109375e-06,-0.3955078125,-4.02099609375e-07,0.02197265625,-3.9990234375e-07
Cycle 42,0.39794921875,1.8585205078125e-06,-0.25634765625,-3.99078369140625e-07,0.0244140625,-3.99383544921875e-07
Cycle 43,0.39794921875,1.7413330078125e-06,-0.2587890625,-3.9862060546875e-07,0.0390625,-3.9752197265625e-07
Cycle 44,0.39794921875,1.62139892578125e-06,-0.2587890625,-3.97216796875e-07,0.02685546875,-3.9849853515625e-07
Cycle 45,0.39794921875,1.52008056640625e-06,-0.2490234375,-3.97308349609375e-07,0.03662109375,-3.94989013671875e-07
