Cycle,Anodic_E_SCE(V),Anodic_I_SCE(A),Cathodic_E_SCE(V),Cathodic_I_SCE(A),Anodic_I_SCE(µA),Cathodic_I_SCE(µA),ΔE_p(V),i_ox/i_red,ΔI(µA),n_electron_estimated
Cycle 1,0.614,0.0,0.098,-0.0,20.477,-2.52,0.516,8.126,22.997,0.114
Cycle 2,0.636,0.0,0.098,-0.0,16.669,-2.743,0.538,6.076,19.412,0.11
Cycle 3,0.653,0.0,0.101,-0.0,15.051,-2.747,0.552,5.479,17.798,0.107
Cycle 4,0.648,0.0,0.101,-0.0,13.977,-2.668,0.548,5.24,16.645,0.108
Cycle 5,0.7,0.0,0.098,-0.0,13.351,-2.526,0.602,5.285,15.878,0.098
Cycle 6,0.697,0.0,0.101,-0.0,13.123,-2.36,0.596,5.561,15.482,0.099
Cycle 7,0.697,0.0,0.098,-0.0,13.101,-2.258,0.599,5.803,15.359,0.099
Cycle 8,0.697,0.0,0.098,-0.0,13.116,-2.162,0.599,6.067,15.278,0.099
Cycle 9,0.695,0.0,0.098,-0.0,13.007,-2.108,0.597,6.171,15.114,0.099
Cycle 10,0.699,0.0,0.106,-0.0,12.872,-2.05,0.594,6.28,14.922,0.099
Average,0.674,,0.1,,14.474,-2.414,0.574,6.009,16.889,0.103
